code;description;default_value;dictionary_id
C_SYSTEM-D_FA.fa-angellist;fa-angellist css class;fa-angellist;3
C_SYSTEM-D_FA.fa-area-chart;fa-area-chart css class;fa-area-chart;3
C_SYSTEM-D_FA.fa-at;fa-at css class;fa-at;3
C_SYSTEM-D_FA.fa-bell-slash;fa-bell-slash css class;fa-bell-slash;3
C_SYSTEM-D_FA.fa-bell-slash-o;fa-bell-slash-o css class;fa-bell-slash-o;3
C_SYSTEM-D_FA.fa-bicycle;fa-bicycle css class;fa-bicycle;3
C_SYSTEM-D_FA.fa-binoculars;fa-binoculars css class;fa-binoculars;3
C_SYSTEM-D_FA.fa-birthday-cake;fa-birthday-cake css class;fa-birthday-cake;3
C_SYSTEM-D_FA.fa-bus;fa-bus css class;fa-bus;3
C_SYSTEM-D_FA.fa-calculator;fa-calculator css class;fa-calculator;3
C_SYSTEM-D_FA.fa-cc;fa-cc css class;fa-cc;3
C_SYSTEM-D_FA.fa-cc-amex;fa-cc-amex css class;fa-cc-amex;3
C_SYSTEM-D_FA.fa-cc-discover;fa-cc-discover css class;fa-cc-discover;3
C_SYSTEM-D_FA.fa-cc-mastercard;fa-cc-mastercard css class;fa-cc-mastercard;3
C_SYSTEM-D_FA.fa-cc-paypal;fa-cc-paypal css class;fa-cc-paypal;3
C_SYSTEM-D_FA.fa-cc-stripe;fa-cc-stripe css class;fa-cc-stripe;3
C_SYSTEM-D_FA.fa-cc-visa;fa-cc-visa css class;fa-cc-visa;3
C_SYSTEM-D_FA.fa-copyright;fa-copyright css class;fa-copyright;3
C_SYSTEM-D_FA.fa-eyedropper;fa-eyedropper css class;fa-eyedropper;3
C_SYSTEM-D_FA.fa-futbol-o;fa-futbol-o css class;fa-futbol-o;3
C_SYSTEM-D_FA.fa-google-wallet;fa-google-wallet css class;fa-google-wallet;3
C_SYSTEM-D_FA.fa-ils;fa-ils css class;fa-ils;3
C_SYSTEM-D_FA.fa-ioxhost;fa-ioxhost css class;fa-ioxhost;3
C_SYSTEM-D_FA.fa-lastfm;fa-lastfm css class;fa-lastfm;3
C_SYSTEM-D_FA.fa-lastfm-square;fa-lastfm-square css class;fa-lastfm-square;3
C_SYSTEM-D_FA.fa-line-chart;fa-line-chart css class;fa-line-chart;3
C_SYSTEM-D_FA.fa-meanpath;fa-meanpath css class;fa-meanpath;3
C_SYSTEM-D_FA.fa-newspaper-o;fa-newspaper-o css class;fa-newspaper-o;3
C_SYSTEM-D_FA.fa-paint-brush;fa-paint-brush css class;fa-paint-brush;3
C_SYSTEM-D_FA.fa-paypal;fa-paypal css class;fa-paypal;3
C_SYSTEM-D_FA.fa-pie-chart;fa-pie-chart css class;fa-pie-chart;3
C_SYSTEM-D_FA.fa-plug;fa-plug css class;fa-plug;3
C_SYSTEM-D_FA.fa-shekel;fa-shekel css class;fa-shekel;3
C_SYSTEM-D_FA.fa-shegel;fa-shegel css class;fa-shegel;3
C_SYSTEM-D_FA.fa-slideshare;fa-slideshare css class;fa-slideshare;3
C_SYSTEM-D_FA.fa-soccer-ball-o;fa-soccer-ball-o css class;fa-soccer-ball-o;3
C_SYSTEM-D_FA.fa-toggle-off;fa-toggle-off css class;fa-toggle-off;3
C_SYSTEM-D_FA.fa-toggle-on;fa-toggle-on css class;fa-toggle-on;3
C_SYSTEM-D_FA.fa-trash;fa-trash css class;fa-trash;3
C_SYSTEM-D_FA.fa-tty;fa-tty css class;fa-tty;3
C_SYSTEM-D_FA.fa-twitch;fa-twitch css class;fa-twitch;3
C_SYSTEM-D_FA.fa-wifi;fa-wifi css class;fa-wifi;3
C_SYSTEM-D_FA.fa-yelp;fa-yelp css class;fa-yelp;3
C_SYSTEM-D_FA.fa-rub;fa-rub css class;fa-rub;3
C_SYSTEM-D_FA.fa-ruble;fa-ruble css class;fa-ruble;3
C_SYSTEM-D_FA.fa-rouble;fa-rouble css class;fa-rouble;3
C_SYSTEM-D_FA.fa-pagelines;fa-pagelines css class;fa-pagelines;3
C_SYSTEM-D_FA.fa-stack-exchange;fa-stack-exchange css class;fa-stack-exchange;3
C_SYSTEM-D_FA.fa-arrow-circle-o-right;fa-arrow-circle-o-right css class;fa-arrow-circle-o-right;3
C_SYSTEM-D_FA.fa-arrow-circle-o-left;fa-arrow-circle-o-left css class;fa-arrow-circle-o-left;3
C_SYSTEM-D_FA.fa-caret-square-o-left;fa-caret-square-o-left css class;fa-caret-square-o-left;3
C_SYSTEM-D_FA.fa-toggle-left;fa-toggle-left css class;fa-toggle-left;3
C_SYSTEM-D_FA.fa-dot-circle-o;fa-dot-circle-o css class;fa-dot-circle-o;3
C_SYSTEM-D_FA.fa-wheelchair;fa-wheelchair css class;fa-wheelchair;3
C_SYSTEM-D_FA.fa-vimeo-square;fa-vimeo-square css class;fa-vimeo-square;3
C_SYSTEM-D_FA.fa-try;fa-try css class;fa-try;3
C_SYSTEM-D_FA.fa-turkish-lira;fa-turkish-lira css class;fa-turkish-lira;3
C_SYSTEM-D_FA.fa-plus-square-o;fa-plus-square-o css class;fa-plus-square-o;3
C_SYSTEM-D_FA.fa-adjust;fa-adjust css class;fa-adjust;3
C_SYSTEM-D_FA.fa-anchor;fa-anchor css class;fa-anchor;3
C_SYSTEM-D_FA.fa-archive;fa-archive css class;fa-archive;3
C_SYSTEM-D_FA.fa-arrows;fa-arrows css class;fa-arrows;3
C_SYSTEM-D_FA.fa-arrows-h;fa-arrows-h css class;fa-arrows-h;3
C_SYSTEM-D_FA.fa-arrows-v;fa-arrows-v css class;fa-arrows-v;3
C_SYSTEM-D_FA.fa-asterisk;fa-asterisk css class;fa-asterisk;3
C_SYSTEM-D_FA.fa-ban;fa-ban css class;fa-ban;3
C_SYSTEM-D_FA.fa-bar-chart-o;fa-bar-chart-o css class;fa-bar-chart-o;3
C_SYSTEM-D_FA.fa-barcode;fa-barcode css class;fa-barcode;3
C_SYSTEM-D_FA.fa-bars;fa-bars css class;fa-bars;3
C_SYSTEM-D_FA.fa-beer;fa-beer css class;fa-beer;3
C_SYSTEM-D_FA.fa-bell;fa-bell css class;fa-bell;3
C_SYSTEM-D_FA.fa-bell-o;fa-bell-o css class;fa-bell-o;3
C_SYSTEM-D_FA.fa-bolt;fa-bolt css class;fa-bolt;3
C_SYSTEM-D_FA.fa-book;fa-book css class;fa-book;3
C_SYSTEM-D_FA.fa-bookmark;fa-bookmark css class;fa-bookmark;3
C_SYSTEM-D_FA.fa-bookmark-o;fa-bookmark-o css class;fa-bookmark-o;3
C_SYSTEM-D_FA.fa-briefcase;fa-briefcase css class;fa-briefcase;3
C_SYSTEM-D_FA.fa-bug;fa-bug css class;fa-bug;3
C_SYSTEM-D_FA.fa-building-o;fa-building-o css class;fa-building-o;3
C_SYSTEM-D_FA.fa-bullhorn;fa-bullhorn css class;fa-bullhorn;3
C_SYSTEM-D_FA.fa-bullseye;fa-bullseye css class;fa-bullseye;3
C_SYSTEM-D_FA.fa-calendar;fa-calendar css class;fa-calendar;3
C_SYSTEM-D_FA.fa-calendar-o;fa-calendar-o css class;fa-calendar-o;3
C_SYSTEM-D_FA.fa-camera;fa-camera css class;fa-camera;3
C_SYSTEM-D_FA.fa-camera-retro;fa-camera-retro css class;fa-camera-retro;3
C_SYSTEM-D_FA.fa-caret-square-o-down;fa-caret-square-o-down css class;fa-caret-square-o-down;3
C_SYSTEM-D_FA.fa-caret-square-o-left;fa-caret-square-o-left css class;fa-caret-square-o-left;3
C_SYSTEM-D_FA.fa-caret-square-o-right;fa-caret-square-o-right css class;fa-caret-square-o-right;3
C_SYSTEM-D_FA.fa-caret-square-o-up;fa-caret-square-o-up css class;fa-caret-square-o-up;3
C_SYSTEM-D_FA.fa-certificate;fa-certificate css class;fa-certificate;3
C_SYSTEM-D_FA.fa-check;fa-check css class;fa-check;3
C_SYSTEM-D_FA.fa-check-circle;fa-check-circle css class;fa-check-circle;3
C_SYSTEM-D_FA.fa-check-circle-o;fa-check-circle-o css class;fa-check-circle-o;3
C_SYSTEM-D_FA.fa-check-square;fa-check-square css class;fa-check-square;3
C_SYSTEM-D_FA.fa-check-square-o;fa-check-square-o css class;fa-check-square-o;3
C_SYSTEM-D_FA.fa-circle;fa-circle css class;fa-circle;3
C_SYSTEM-D_FA.fa-circle-o;fa-circle-o css class;fa-circle-o;3
C_SYSTEM-D_FA.fa-clock-o;fa-clock-o css class;fa-clock-o;3
C_SYSTEM-D_FA.fa-cloud;fa-cloud css class;fa-cloud;3
C_SYSTEM-D_FA.fa-cloud-download;fa-cloud-download css class;fa-cloud-download;3
C_SYSTEM-D_FA.fa-cloud-upload;fa-cloud-upload css class;fa-cloud-upload;3
C_SYSTEM-D_FA.fa-code;fa-code css class;fa-code;3
C_SYSTEM-D_FA.fa-code-fork;fa-code-fork css class;fa-code-fork;3
C_SYSTEM-D_FA.fa-coffee;fa-coffee css class;fa-coffee;3
C_SYSTEM-D_FA.fa-cog;fa-cog css class;fa-cog;3
C_SYSTEM-D_FA.fa-cogs;fa-cogs css class;fa-cogs;3
C_SYSTEM-D_FA.fa-comment;fa-comment css class;fa-comment;3
C_SYSTEM-D_FA.fa-comment-o;fa-comment-o css class;fa-comment-o;3
C_SYSTEM-D_FA.fa-comments;fa-comments css class;fa-comments;3
C_SYSTEM-D_FA.fa-comments-o;fa-comments-o css class;fa-comments-o;3
C_SYSTEM-D_FA.fa-compass;fa-compass css class;fa-compass;3
C_SYSTEM-D_FA.fa-credit-card;fa-credit-card css class;fa-credit-card;3
C_SYSTEM-D_FA.fa-crop;fa-crop css class;fa-crop;3
C_SYSTEM-D_FA.fa-crosshairs;fa-crosshairs css class;fa-crosshairs;3
C_SYSTEM-D_FA.fa-cutlery;fa-cutlery css class;fa-cutlery;3
C_SYSTEM-D_FA.fa-dashboard;fa-dashboard css class;fa-dashboard;3
C_SYSTEM-D_FA.fa-desktop;fa-desktop css class;fa-desktop;3
C_SYSTEM-D_FA.fa-dot-circle-o;fa-dot-circle-o css class;fa-dot-circle-o;3
C_SYSTEM-D_FA.fa-download;fa-download css class;fa-download;3
C_SYSTEM-D_FA.fa-edit;fa-edit css class;fa-edit;3
C_SYSTEM-D_FA.fa-ellipsis-h;fa-ellipsis-h css class;fa-ellipsis-h;3
C_SYSTEM-D_FA.fa-ellipsis-v;fa-ellipsis-v css class;fa-ellipsis-v;3
C_SYSTEM-D_FA.fa-envelope;fa-envelope css class;fa-envelope;3
C_SYSTEM-D_FA.fa-envelope-o;fa-envelope-o css class;fa-envelope-o;3
C_SYSTEM-D_FA.fa-eraser;fa-eraser css class;fa-eraser;3
C_SYSTEM-D_FA.fa-exchange;fa-exchange css class;fa-exchange;3
C_SYSTEM-D_FA.fa-exclamation;fa-exclamation css class;fa-exclamation;3
C_SYSTEM-D_FA.fa-exclamation-circle;fa-exclamation-circle css class;fa-exclamation-circle;3
C_SYSTEM-D_FA.fa-exclamation-triangle;fa-exclamation-triangle css class;fa-exclamation-triangle;3
C_SYSTEM-D_FA.fa-external-link;fa-external-link css class;fa-external-link;3
C_SYSTEM-D_FA.fa-external-link-square;fa-external-link-square css class;fa-external-link-square;3
C_SYSTEM-D_FA.fa-eye;fa-eye css class;fa-eye;3
C_SYSTEM-D_FA.fa-eye-slash;fa-eye-slash css class;fa-eye-slash;3
C_SYSTEM-D_FA.fa-female;fa-female css class;fa-female;3
C_SYSTEM-D_FA.fa-fighter-jet;fa-fighter-jet css class;fa-fighter-jet;3
C_SYSTEM-D_FA.fa-film;fa-film css class;fa-film;3
C_SYSTEM-D_FA.fa-filter;fa-filter css class;fa-filter;3
C_SYSTEM-D_FA.fa-fire;fa-fire css class;fa-fire;3
C_SYSTEM-D_FA.fa-fire-extinguisher;fa-fire-extinguisher css class;fa-fire-extinguisher;3
C_SYSTEM-D_FA.fa-flag;fa-flag css class;fa-flag;3
C_SYSTEM-D_FA.fa-flag-checkered;fa-flag-checkered css class;fa-flag-checkered;3
C_SYSTEM-D_FA.fa-flag-o;fa-flag-o css class;fa-flag-o;3
C_SYSTEM-D_FA.fa-flash;fa-flash css class;fa-flash;3
C_SYSTEM-D_FA.fa-flask;fa-flask css class;fa-flask;3
C_SYSTEM-D_FA.fa-folder;fa-folder css class;fa-folder;3
C_SYSTEM-D_FA.fa-folder-o;fa-folder-o css class;fa-folder-o;3
C_SYSTEM-D_FA.fa-folder-open;fa-folder-open css class;fa-folder-open;3
C_SYSTEM-D_FA.fa-folder-open-o;fa-folder-open-o css class;fa-folder-open-o;3
C_SYSTEM-D_FA.fa-frown-o;fa-frown-o css class;fa-frown-o;3
C_SYSTEM-D_FA.fa-gamepad;fa-gamepad css class;fa-gamepad;3
C_SYSTEM-D_FA.fa-gavel;fa-gavel css class;fa-gavel;3
C_SYSTEM-D_FA.fa-gear;fa-gear css class;fa-gear;3
C_SYSTEM-D_FA.fa-gears;fa-gears css class;fa-gears;3
C_SYSTEM-D_FA.fa-gift;fa-gift css class;fa-gift;3
C_SYSTEM-D_FA.fa-glass;fa-glass css class;fa-glass;3
C_SYSTEM-D_FA.fa-globe;fa-globe css class;fa-globe;3
C_SYSTEM-D_FA.fa-group;fa-group css class;fa-group;3
C_SYSTEM-D_FA.fa-hdd-o;fa-hdd-o css class;fa-hdd-o;3
C_SYSTEM-D_FA.fa-headphones;fa-headphones css class;fa-headphones;3
C_SYSTEM-D_FA.fa-heart;fa-heart css class;fa-heart;3
C_SYSTEM-D_FA.fa-heart-o;fa-heart-o css class;fa-heart-o;3
C_SYSTEM-D_FA.fa-home;fa-home css class;fa-home;3
C_SYSTEM-D_FA.fa-inbox;fa-inbox css class;fa-inbox;3
C_SYSTEM-D_FA.fa-info;fa-info css class;fa-info;3
C_SYSTEM-D_FA.fa-info-circle;fa-info-circle css class;fa-info-circle;3
C_SYSTEM-D_FA.fa-key;fa-key css class;fa-key;3
C_SYSTEM-D_FA.fa-keyboard-o;fa-keyboard-o css class;fa-keyboard-o;3
C_SYSTEM-D_FA.fa-laptop;fa-laptop css class;fa-laptop;3
C_SYSTEM-D_FA.fa-leaf;fa-leaf css class;fa-leaf;3
C_SYSTEM-D_FA.fa-legal;fa-legal css class;fa-legal;3
C_SYSTEM-D_FA.fa-lemon-o;fa-lemon-o css class;fa-lemon-o;3
C_SYSTEM-D_FA.fa-level-down;fa-level-down css class;fa-level-down;3
C_SYSTEM-D_FA.fa-level-up;fa-level-up css class;fa-level-up;3
C_SYSTEM-D_FA.fa-lightbulb-o;fa-lightbulb-o css class;fa-lightbulb-o;3
C_SYSTEM-D_FA.fa-location-arrow;fa-location-arrow css class;fa-location-arrow;3
C_SYSTEM-D_FA.fa-lock;fa-lock css class;fa-lock;3
C_SYSTEM-D_FA.fa-magic;fa-magic css class;fa-magic;3
C_SYSTEM-D_FA.fa-magnet;fa-magnet css class;fa-magnet;3
C_SYSTEM-D_FA.fa-mail-forward;fa-mail-forward css class;fa-mail-forward;3
C_SYSTEM-D_FA.fa-mail-reply;fa-mail-reply css class;fa-mail-reply;3
C_SYSTEM-D_FA.fa-mail-reply-all;fa-mail-reply-all css class;fa-mail-reply-all;3
C_SYSTEM-D_FA.fa-male;fa-male css class;fa-male;3
C_SYSTEM-D_FA.fa-map-marker;fa-map-marker css class;fa-map-marker;3
C_SYSTEM-D_FA.fa-meh-o;fa-meh-o css class;fa-meh-o;3
C_SYSTEM-D_FA.fa-microphone;fa-microphone css class;fa-microphone;3
C_SYSTEM-D_FA.fa-microphone-slash;fa-microphone-slash css class;fa-microphone-slash;3
C_SYSTEM-D_FA.fa-minus;fa-minus css class;fa-minus;3
C_SYSTEM-D_FA.fa-minus-circle;fa-minus-circle css class;fa-minus-circle;3
C_SYSTEM-D_FA.fa-minus-square;fa-minus-square css class;fa-minus-square;3
C_SYSTEM-D_FA.fa-minus-square-o;fa-minus-square-o css class;fa-minus-square-o;3
C_SYSTEM-D_FA.fa-mobile;fa-mobile css class;fa-mobile;3
C_SYSTEM-D_FA.fa-mobile-phone;fa-mobile-phone css class;fa-mobile-phone;3
C_SYSTEM-D_FA.fa-money;fa-money css class;fa-money;3
C_SYSTEM-D_FA.fa-moon-o;fa-moon-o css class;fa-moon-o;3
C_SYSTEM-D_FA.fa-music;fa-music css class;fa-music;3
C_SYSTEM-D_FA.fa-pencil;fa-pencil css class;fa-pencil;3
C_SYSTEM-D_FA.fa-pencil-square;fa-pencil-square css class;fa-pencil-square;3
C_SYSTEM-D_FA.fa-pencil-square-o;fa-pencil-square-o css class;fa-pencil-square-o;3
C_SYSTEM-D_FA.fa-phone;fa-phone css class;fa-phone;3
C_SYSTEM-D_FA.fa-phone-square;fa-phone-square css class;fa-phone-square;3
C_SYSTEM-D_FA.fa-picture-o;fa-picture-o css class;fa-picture-o;3
C_SYSTEM-D_FA.fa-plane;fa-plane css class;fa-plane;3
C_SYSTEM-D_FA.fa-plus;fa-plus css class;fa-plus;3
C_SYSTEM-D_FA.fa-plus-circle;fa-plus-circle css class;fa-plus-circle;3
C_SYSTEM-D_FA.fa-plus-square;fa-plus-square css class;fa-plus-square;3
C_SYSTEM-D_FA.fa-plus-square-o;fa-plus-square-o css class;fa-plus-square-o;3
C_SYSTEM-D_FA.fa-power-off;fa-power-off css class;fa-power-off;3
C_SYSTEM-D_FA.fa-print;fa-print css class;fa-print;3
C_SYSTEM-D_FA.fa-puzzle-piece;fa-puzzle-piece css class;fa-puzzle-piece;3
C_SYSTEM-D_FA.fa-qrcode;fa-qrcode css class;fa-qrcode;3
C_SYSTEM-D_FA.fa-question;fa-question css class;fa-question;3
C_SYSTEM-D_FA.fa-question-circle;fa-question-circle css class;fa-question-circle;3
C_SYSTEM-D_FA.fa-quote-left;fa-quote-left css class;fa-quote-left;3
C_SYSTEM-D_FA.fa-quote-right;fa-quote-right css class;fa-quote-right;3
C_SYSTEM-D_FA.fa-random;fa-random css class;fa-random;3
C_SYSTEM-D_FA.fa-refresh;fa-refresh css class;fa-refresh;3
C_SYSTEM-D_FA.fa-reply;fa-reply css class;fa-reply;3
C_SYSTEM-D_FA.fa-reply-all;fa-reply-all css class;fa-reply-all;3
C_SYSTEM-D_FA.fa-retweet;fa-retweet css class;fa-retweet;3
C_SYSTEM-D_FA.fa-road;fa-road css class;fa-road;3
C_SYSTEM-D_FA.fa-rocket;fa-rocket css class;fa-rocket;3
C_SYSTEM-D_FA.fa-rss;fa-rss css class;fa-rss;3
C_SYSTEM-D_FA.fa-rss-square;fa-rss-square css class;fa-rss-square;3
C_SYSTEM-D_FA.fa-search;fa-search css class;fa-search;3
C_SYSTEM-D_FA.fa-search-minus;fa-search-minus css class;fa-search-minus;3
C_SYSTEM-D_FA.fa-search-plus;fa-search-plus css class;fa-search-plus;3
C_SYSTEM-D_FA.fa-share;fa-share css class;fa-share;3
C_SYSTEM-D_FA.fa-share-square;fa-share-square css class;fa-share-square;3
C_SYSTEM-D_FA.fa-share-square-o;fa-share-square-o css class;fa-share-square-o;3
C_SYSTEM-D_FA.fa-shield;fa-shield css class;fa-shield;3
C_SYSTEM-D_FA.fa-shopping-cart;fa-shopping-cart css class;fa-shopping-cart;3
C_SYSTEM-D_FA.fa-sign-in;fa-sign-in css class;fa-sign-in;3
C_SYSTEM-D_FA.fa-sign-out;fa-sign-out css class;fa-sign-out;3
C_SYSTEM-D_FA.fa-signal;fa-signal css class;fa-signal;3
C_SYSTEM-D_FA.fa-sitemap;fa-sitemap css class;fa-sitemap;3
C_SYSTEM-D_FA.fa-smile-o;fa-smile-o css class;fa-smile-o;3
C_SYSTEM-D_FA.fa-sort;fa-sort css class;fa-sort;3
C_SYSTEM-D_FA.fa-sort-alpha-asc;fa-sort-alpha-asc css class;fa-sort-alpha-asc;3
C_SYSTEM-D_FA.fa-sort-alpha-desc;fa-sort-alpha-desc css class;fa-sort-alpha-desc;3
C_SYSTEM-D_FA.fa-sort-amount-asc;fa-sort-amount-asc css class;fa-sort-amount-asc;3
C_SYSTEM-D_FA.fa-sort-amount-desc;fa-sort-amount-desc css class;fa-sort-amount-desc;3
C_SYSTEM-D_FA.fa-sort-asc;fa-sort-asc css class;fa-sort-asc;3
C_SYSTEM-D_FA.fa-sort-desc;fa-sort-desc css class;fa-sort-desc;3
C_SYSTEM-D_FA.fa-sort-down;fa-sort-down css class;fa-sort-down;3
C_SYSTEM-D_FA.fa-sort-numeric-asc;fa-sort-numeric-asc css class;fa-sort-numeric-asc;3
C_SYSTEM-D_FA.fa-sort-numeric-desc;fa-sort-numeric-desc css class;fa-sort-numeric-desc;3
C_SYSTEM-D_FA.fa-sort-up;fa-sort-up css class;fa-sort-up;3
C_SYSTEM-D_FA.fa-spinner;fa-spinner css class;fa-spinner;3
C_SYSTEM-D_FA.fa-square;fa-square css class;fa-square;3
C_SYSTEM-D_FA.fa-square-o;fa-square-o css class;fa-square-o;3
C_SYSTEM-D_FA.fa-star;fa-star css class;fa-star;3
